"date","close","volume","open","high","low"

"2019/06/28","1080.9100","1693450.0000","1076.3900","1081.0000","1073.3700"
"2019/06/27","1076.0100","1004477.0000","1084.0000","1087.1000","1075.2900"
"2019/06/26","1079.8000","1810869.0000","1086.5000","1092.9700","1072.2400"
"2019/06/25","1086.3500","1546913.0000","1112.6600","1114.3500","1083.8000"
"2019/06/24","1115.5200","1395696.0000","1119.6100","1122.0000","1111.0100"
"2019/06/21","1121.8800","1947591.0000","1109.2400","1124.1100","1108.0800"
"2019/06/20","1111.4200","1262011.0000","1119.9900","1120.1200","1104.7400"
"2019/06/19","1102.3300","1339218.0000","1105.6000","1107.0000","1093.4800"
"2019/06/18","1103.6000","1386684.0000","1109.6900","1116.3900","1098.9900"
"2019/06/17","1092.5000","941602.0000","1086.2800","1099.1800","1086.2800"
"2019/06/14","1085.3500","1111643.0000","1086.4200","1092.6900","1080.1721"
"2019/06/13","1088.7700","1058000.0000","1083.6400","1094.1700","1080.1500"
"2019/06/12","1077.0300","1061255.0000","1078.0000","1080.9300","1067.5400"
"2019/06/11","1078.7200","1437063.0000","1093.9800","1101.9900","1077.6025"
"2019/06/10","1080.3800","1464248.0000","1072.9800","1092.6600","1072.3216"
"2019/06/07","1066.0400","1802370.0000","1050.6300","1070.9200","1048.4000"
"2019/06/06","1044.3400","1703244.0000","1044.9900","1047.4900","1033.7000"
"2019/06/05","1042.2200","2168439.0000","1051.5400","1053.5500","1030.4900"
"2019/06/04","1053.0500","2833483.0000","1042.9000","1056.0500","1033.6900"
"2019/06/03","1036.2300","5130576.0000","1065.5000","1065.5000","1025.0000"
"2019/05/31","1103.6300","1508203.0000","1101.2900","1109.6000","1100.1800"
"2019/05/30","1117.9500","951873.0000","1115.5400","1123.1300","1112.1200"
"2019/05/29","1116.4600","1538212.0000","1127.5200","1129.1000","1108.2201"
"2019/05/28","1134.1500","1365166.0000","1134.0000","1151.5871","1133.1200"
